timestamp,macd,macd_signal,macd_histogram
2022-12-17,,,
2022-12-18,,,
2022-12-19,,,
2022-12-20,,,
2022-12-21,,,
2022-12-22,,,
2022-12-23,,,
2022-12-24,,,
2022-12-25,,,
2022-12-26,,,
2022-12-27,,,
2022-12-28,,,
2022-12-29,,,
2022-12-30,,,
2022-12-31,,,
2023-01-01,,,
2023-01-02,,,
2023-01-03,,,
2023-01-04,,,
2023-01-05,,,
2023-01-06,,,
2023-01-07,,,
2023-01-08,,,
2023-01-09,,,
2023-01-10,,,
2023-01-11,179.9246978160445,,
2023-01-12,303.9489355305268,,
2023-01-13,484.0793903150261,,
2023-01-14,701.4498675357609,,
2023-01-15,857.1060549020258,,
2023-01-16,994.3517167428108,,
2023-01-17,1086.493113150911,,
2023-01-18,1109.8190150301853,,
2023-01-19,1146.8865562173087,832.3400335522774,314.54652266503126
2023-01-20,1290.1440707517504,923.9008409921721,366.2432297595783
2023-01-21,1396.961051418315,1018.5128830774008,378.4481683409142
2023-01-22,1458.6934316964725,1106.5489928012153,352.1444388952573
2023-01-23,1507.0740324078834,1186.654000722549,320.4200316853344
2023-01-24,1505.1842576671588,1250.3600521114708,254.82420555568797
2023-01-25,1520.6970067145485,1304.4274430320863,216.26956368246215
2023-01-26,1511.4294795384048,1345.82785033335,165.6016292050549
2023-01-27,1492.0904257162038,1375.080365409921,117.01006030628287
2023-01-28,1455.8218174427857,1391.228655816494,64.5931616262917
2023-01-29,1468.2276449500168,1406.6284536431986,61.599191306818284
2023-01-30,1388.1321805189327,1402.9291990183453,-14.797018499412616
2023-01-31,1333.4104100328223,1389.025441221241,-55.6150311884187
2023-02-01,1323.805599423671,1375.981472861727,-52.17587343805599
2023-02-02,1281.752307927345,1357.1356398748508,-75.38333194750567
2023-02-03,1229.6475090863205,1331.6380137171448,-101.99050463082426
2023-02-04,1166.4307292640224,1298.5965568265203,-132.16582756249795
2023-02-05,1072.1846398959678,1253.3141734404098,-181.12953354444198
2023-02-06,972.5341181415533,1197.1581623806385,-224.62404423908515
2023-02-07,921.5036054491575,1142.0272509943422,-220.52364554518476
2023-02-08,848.8874076935863,1083.3992823341912,-234.5118746406049
2023-02-09,689.2543478259031,1004.5702954325336,-315.3159476066305
2023-02-10,542.6771716010699,912.191670666241,-369.5144990651711
2023-02-11,440.5878492414304,817.8709063812788,-377.28305713984844
2023-02-12,349.2796012475119,724.1526453545255,-374.8730441070136
2023-02-13,272.99798699304665,633.9217136822298,-360.9237266891831
2023-02-14,244.09463694190708,555.9562983341652,-311.86166139225816
2023-02-15,388.1205064238675,522.3891399521057,-134.26863352823818
2023-02-16,432.21564056017814,504.3544400737202,-72.13879951354204
2023-02-17,545.7777468999011,512.6391014389563,33.13864546094476
2023-02-18,633.4754912184908,536.8063793948633,96.66911182362753
2023-02-19,666.2323508274312,562.6915736813769,103.54077714605432
2023-02-20,729.8093507965168,596.1151291044049,133.6942216921119
2023-02-21,740.1891729854397,624.9299378806119,115.25923510482778
2023-02-22,718.3518351222265,643.6143173289348,74.73751779329166
2023-02-23,673.7508230057792,649.6416184643037,24.109204541475492
2023-02-24,570.9081972962485,633.8949342306927,-62.98673693444414
2023-02-25,481.5762461301383,603.4311966105818,-121.85495048044345
2023-02-26,437.83051520363733,570.311060329193,-132.48054512555564
2023-02-27,393.5607771249961,534.9610036883536,-141.40022656335748
2023-02-28,326.429776896719,493.2547583300267,-166.8249814333077
2023-03-01,308.9951781207528,456.40284228817194,-147.4076641674191
2023-03-02,278.7595787592909,420.87418958239573,-142.11461082310484
2023-03-03,163.26878633923843,369.3531089337643,-206.08432259452587
2023-03-04,70.30410525413026,309.5433081978375,-239.23920294370726
2023-03-05,3.3418724352668505,248.3030210453234,-244.96114861005654
2023-03-06,-50.77408629672209,188.4875995769143,-239.2616858736364
2023-03-07,-109.50887919162051,128.88830382320734,-238.39718301482785
2023-03-08,-193.56754736635048,64.39713358529576,-257.96468095164624
2023-03-09,-364.3710332882474,-21.356499789412865,-343.01453349883457
2023-03-10,-510.91323982775793,-119.26784779708188,-391.645392030676
2023-03-11,-595.5694615914472,-214.52817055595494,-381.04129103549224
2023-03-12,-532.1493565733545,-278.05240775943486,-254.0969488139196
2023-03-13,-307.5696235070609,-283.9558509089601,-23.61377259810081
2023-03-14,-83.68430986814201,-243.90154270079648,160.21723283265447
2023-03-15,61.985771300445776,-182.72407990054802,244.7098512009938
2023-03-16,232.29542724392377,-99.72017847165367,332.0156057155774
2023-03-17,554.2435003934406,31.07255730136518,523.1709430920755
2023-03-18,761.265797016069,177.11120524430595,584.1545917717631
2023-03-19,999.7749377088294,341.6439517372106,658.1309859716188
2023-03-20,1154.8371426651647,504.28258992280144,650.5545527423633
2023-03-21,1294.1523500507283,662.2565419483869,631.8958081023413
2023-03-22,1320.3890242126254,793.8830384012347,526.5059858113907
2023-03-23,1409.214805687472,916.9493918584822,492.26541382898995
2023-03-24,1395.664693672752,1012.6924522213362,382.9722414514158
2023-03-25,1369.8199655281933,1084.1179548827076,285.70201064548564
2023-03-26,1374.2536404516504,1142.1450919964964,232.10854845515405
2023-03-27,1294.8072758993585,1172.6775287770688,122.1297471222897
2023-03-28,1228.6691010974282,1183.8758432411407,44.79325785628748
2023-03-29,1249.6040456133233,1197.0214837155772,52.58256189774602
2023-03-30,1226.2329161529742,1202.8637702030567,23.369145949917538
2023-03-31,1228.794875508509,1208.0499912641471,20.744884244361856
2023-04-01,1215.7912268496402,1209.5982383812457,6.19298846839456
